case_id,task,expected_label,clean_request,raw_source_text,family,variant_text,rationale,author,reviewer,semantic_risk,proposed_tier,Lamei_decision
dataset-anger-0.oces.paraphrase,emotion,anger,i didnt think i was angry but now that im typing away feeling my words evaporate into cyberspace i am very pissed that this is happening,i didnt think i was angry but now that im typing away feeling my words evaporate into cyberspace i am very pissed that this is happening,oces.paraphrase,"I didn't think I was angry, but now, as I type and watch my words vanish into cyberspace, I'm really furious that this is happening.","Lexical swaps (pissed->furious, evaporate->vanish); anger preserved but intensity wording changed, so kept visible for review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
dataset-anger-0.oces.distractor,emotion,anger,i didnt think i was angry but now that im typing away feeling my words evaporate into cyberspace i am very pissed that this is happening,i didnt think i was angry but now that im typing away feeling my words evaporate into cyberspace i am very pissed that this is happening,oces.distractor,i didnt think i was angry but now that im typing away feeling my words evaporate into cyberspace i am very pissed that this is happening The document was last saved at 4:15 pm.,"Clean request used verbatim as the prefix; one unrelated, affect-free logistical clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
dataset-anger-1.oces.paraphrase,emotion,anger,i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,oces.paraphrase,"Every moment feels like torture, and there is nowhere I can escape to or return to the life I once knew.",Syntactic recast of a strong-affect sentence; meaning preserved but re-review for intensity.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),medium,REVIEW,KEEP_REVIEW
dataset-anger-1.oces.distractor,emotion,anger,i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,oces.distractor,i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to The building has four floors and two staircases.,"Clean request used verbatim as the prefix; one unrelated, affect-free ordinary_observation clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
dataset-anger-2.oces.paraphrase,emotion,anger,i never kissed a guy because every time i d try i d freak out and feel disgusted,i never kissed a guy because every time i d try i d freak out and feel disgusted,oces.paraphrase,"I never kissed a guy because every time I tried, I would panic and feel disgusted.","Dataset label 'anger' is noisy here (reads fear/disgust); 7-way prediction is unstable, so flagged high and kept for review.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),high,REVIEW,KEEP_REVIEW
dataset-anger-2.oces.distractor,emotion,anger,i never kissed a guy because every time i d try i d freak out and feel disgusted,i never kissed a guy because every time i d try i d freak out and feel disgusted,oces.distractor,i never kissed a guy because every time i d try i d freak out and feel disgusted The cafe across the street opens at eight each morning.,"Noisy underlying label; the seed's emotion is ambiguous, so kept visible even though only a neutral clause is appended.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),high,REVIEW,KEEP_REVIEW
handwritten-disgust-0.oces.paraphrase,emotion,disgust,The milk had curdled into lumps and the smell made me gag.,The milk had curdled into lumps and the smell made me gag.,oces.paraphrase,"The milk had turned lumpy and curdled, and its stench made me gag.",Clear disgust cue (curdled/stench/gag) preserved with lexical/syntactic variation.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
handwritten-disgust-0.oces.distractor,emotion,disgust,The milk had curdled into lumps and the smell made me gag.,The milk had curdled into lumps and the smell made me gag.,oces.distractor,The milk had curdled into lumps and the smell made me gag. The hallway has three ceiling lights.,"Clean request used verbatim as the prefix; one unrelated, affect-free mundane_factual clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
handwritten-disgust-1.oces.paraphrase,emotion,disgust,There were maggots crawling through the rotting meat in the bin.,There were maggots crawling through the rotting meat in the bin.,oces.paraphrase,Maggots were crawling through the rotting meat inside the bin.,Strong disgust imagery preserved; minor reordering only.,AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
handwritten-disgust-1.oces.distractor,emotion,disgust,There were maggots crawling through the rotting meat in the bin.,There were maggots crawling through the rotting meat in the bin.,oces.distractor,There were maggots crawling through the rotting meat in the bin. The office printer is beside the window.,"Clean request used verbatim as the prefix; one unrelated, affect-free logistical clause appended, with no casing/punctuation rewrite; affective content untouched.",AI draft (Claude Code); Task 4 owner: Lamei,Lamei (Task 4 owner),low,SILVER,APPROVE
